,English,SimplifiedChinese,TraditionalChinese,Russian
Thrilling Tales of Dragon Slayers,Thrilling Tales of Dragon Slayers,讨龙英杰谭,討龍英傑譚,Thrilling Tales of Dragon Slayers
Thunder Manifestation,Thunder Manifestation,雷音权现,雷音權現,Манифестация грома
Thundering Pulse,Thundering Pulse,飞雷之弦振,飛雷之弦振,Thundering Pulse
Tighnari,Tighnari,提纳里,提納里,Tighnari
Time Speed,Time Speed,游戏时间速度,遊戲時間速度,Скорость времени
"Time Speedup Multipler 
Higher Values will lead to sync issues with servers 
and is not recommended for Laggy Internet connections.","Time Speedup Multipler 
Higher Values will lead to sync issues with servers 
and is not recommended for Laggy Internet connections.","游戏时间加速倍率。
更高的倍率将导致与服务器同步问题，
不推荐在较差的网络环境下使用。","遊戲時間加速倍率。
更高的倍率將導致與伺服器同步問題，
不推薦在較差的網絡環境下使用。","Ускорить время 
Большие значения могут привести к проблеме синхронизации с сервером
Не рекомендуется с использованием слабого интернета."
Time Trial Challenge,Time Trial Challenge,限时挑战,限時挑戰,Испытание на время
Time Trial Challenge Collection,Time Trial Challenge Collection,限时收集挑战,限時收集挑戰,Коллекция испытаний на время
TimeHour,TimeHour,时,時,Время (час)
TimeMinute,TimeMinute,分,分,Время (минуты)
"To display paimon, turn on the function, open the profile (esc) and close it. 
If the paimon disappeared after teleportation, do not disable the function, open and close the profile.","To display paimon, turn on the function, open the profile (esc) and close it. 
If the paimon disappeared after teleportation, do not disable the function, open and close the profile.","想要显示派蒙，打开该功能然后打开菜单(esc)并关闭它。
如果传送后派蒙消失了，不需要关闭该功能，重新打开和关闭菜单即可。","想要顯示派蒙，打開該功能然後打開菜單(esc)並關閉它。
如果傳送後派蒙消失了，不需要關閉該功能，重新打開和關閉菜單即可。","Для отображения паймон включи функцию, открой профиль (esc) и закрой это. 
Если паймон пропадает после телепортации, не выключате функцию, затем откройте и закройте профиль."
Toggle Damage Overlay,Toggle Damage Overlay,切换伤害叠加,切換傷害疊加,Включить оверлей урона
Toggle Hotkey,Toggle Hotkey,切换快捷键,切換快捷鍵,Включить комбинацию клавиш
Toggle icons to HD format.,Toggle icons to HD format.,将图标切换为高清格式,將圖標切換為高清格式,Toggle icons to HD format.
Torch Puzzle,Torch Puzzle,火炬解谜,火炬解謎,Загадка с факелами
Tracer Color,Tracer Color,追踪颜色,追蹤顏色,Цвет стрелки
Tracer Mode,Tracer Mode,追踪模式,追蹤模式,Направляющий режим
Translators list:,Translators list:,"译者名单: ","譯者名單: ",Translators list:
Transparency of filled part.,Transparency of filled part.,填充部分的透明度,填充部分的透明度,Прозрачность заполненной части.
Trap,Trap,陷阱,陷阱,Ловушка
Traveler,Traveler,旅行者,旅行者,Traveler
Traveler's Handy Sword,Traveler's Handy Sword,旅行剑,旅行劍,Traveler's Handy Sword
Treasure Hoarder,Treasure Hoarder,盗宝团,盜寶團,Сокровищница
Tree Farm,Tree Farm,自动砍树,自動砍樹,Автофарм дерева
Tree of Dreams,Tree of Dreams,梦之树,夢之樹,Tree of Dreams
Tri Yana Seeds,Tri Yana Seeds,三相众物,三相眾物,Семена трияны
Tri-Yana Seeds,Tri-Yana Seeds,三乘种子,三乘種子,Tri-Yana Seeds
Triangular Mechanism,Triangular Mechanism,三角的机关,三角的機關,Треугольный механизм (энканомия)
True Fruit Angler,True Fruit Angler,真果角鲀,真果角魨,True Fruit Angler
Twin Nephrite,Twin Nephrite,甲级宝珏,甲級寶玨,Twin Nephrite
Type Filters,Type Filters,过滤类型,過濾類型,Фильтр типов
UID,UID,UID,UID,UID
UID Pos X,UID Pos X,UID X坐标,UID X坐標,UID по оси X
UID Pos y,UID Pos y,UID Y坐标,UID Y坐標,UID по оси Y
UID size,UID size,UID大小,UID大小,UID размер
URL,URL,链接,連結,Сссылка
Ultimate Max Energy,Ultimate Max Energy,元素战技最大能量,元素戰技最大能量,Ульта без перезарядки
Unagi Meat,Unagi Meat,鳗肉,鰻肉,Unagi Meat
Unique Rocks,Unique Rocks,奇特的岩石,奇特的岩石,Уникальные камни
Unknown,Unknown,未知,未知,Unknown
Unknown Items,Unknown Items,未知物品,未知物品,Unknown Items
"Unknown Names:
","Unknown Names:
","未知名稱:
","未知名称:
","Unknown Names:
"
Unknowns,Unknowns,未知,不明,Неизвестны
Unlocks higher framerate.,Unlocks higher framerate.,解锁更高的帧率,解鎖更高的幀率,Убрать ограничение кадров в секунду (FPS).
Unusual Hilichurl,Unusual Hilichurl,奇怪的丘丘人,奇怪的丘丘人,Странный Хиличурл
Up,Up,上,上,Вверх
Use Custom Keys,Use Custom Keys,使用自定义按键,使用自定義按鍵,Использовать кастомные кнопки
Use custom range,Use custom range,使用自定义范围,使用自定義範圍,Определённый разброс
Use delay time fluctuation,Use delay time fluctuation,使用随机拾取延迟,使用隨機拾取延遲,Использовать задержку
Use system default transport position instead of mark absolute position when teleport to building and transport mark.,Use system default transport position instead of mark absolute position when teleport to building and transport mark.,传送到建筑物和锚点时使用系统默认传送位置而不是指定的绝对位置,傳送到建築物和錨點時使用系統默認傳送位置而不是指定的絕對位置,"Использовать позицию ближайших телепортов по умолчанию, вместо отметки абсолютной позиции при телепортации к зданию и транспортной метке.."
Use transport position,Use transport position,使用原坐标,使用原坐標,Использовать координат телепортов/башней архонтов
Use velocity instead of position to move.,Use velocity instead of position to move.,使用速度而不是位置来移动,使用速度而不是位置來移動,Использовать скорость вместо позиции для передвижения.
Vacuum Loot,Vacuum Loot,掉落物吸附,掉落物吸附,Притягивание вещей
Vacuum Loot drops,Vacuum Loot drops,掉落物吸附,掉落物吸附,Притягивает вещи (лут)
Vacuum entities instantly.,Vacuum entities instantly.,立即吸附实体,立即吸附實體,Притягивет мобов моментально.
Valberry,Valberry,落落莓,落落莓,Валяшка
Valid quest interact points.,Valid quest interact points.,有效的任务交互点,有效的任務互動點,"Точки для квеста (доски, верёвки и т.п.)."
VehicleMuteIce,VehicleMuteIce,枫丹小艇反冻结,枫丹小艇反冻结,VehicleMuteIce
Velocity Mode,Velocity Mode,加速度模式(暂),加速度模式(暫),Режим скорости
Velocity mode,Velocity mode,加速度模式(暂),加速度模式(暫),Режим скорости
Venomspine Fish,Venomspine Fish,鸩棘鱼,鴆棘魚,Venomspine Fish
Venti,Venti,温迪,溫迪,Venti
Viewpoint,Viewpoint,观景点,觀景點,Viewpoint (места для фотографий)
Violet Ibis,Violet Ibis,菫鹮,菫䴉,Violet Ibis
Violetgrass,Violetgrass,琉璃袋,琉璃袋,Фиолетовая трава
Viparyas,Viparyas,「毗波耶」,「毗波耶」,Випарис
Visuals,Visuals,视图,視圖,Визуал
Vortex Vanquisher,Vortex Vanquisher,贯虹之槊,貫虹之槊,Vortex Vanquisher
Vulture,Vulture,秃鹰,禿鷹,Стервятник
Wandering Evenstar,Wandering Evenstar,流浪的晚星,流浪的晚星,Wandering Evenstar
Warming Seelie,Warming Seelie,温暖仙灵,溫暖仙靈,Тёплые феи (Драконий хребет)
"Warning: This will delete the file from the directory and
 			remove the teleport from the list. It will be lost forever.","Warning: This will delete the file from the directory and
 			remove the teleport from the list. It will be lost forever.","警告: 这将从目录中删除文件并
 			从传送列表中移除。文件将会永远消失。","警告: 這將從目錄中刪除文件並
 			從傳送列表中移除。文件將會永遠消失。","Важно: Удалятся все телепорты из списка ниже.
 			Они будут утеряны навсегда"
Waster Greatsword,Waster Greatsword,训练大剑,訓練大劍,Waster Greatsword
Wavebreaker's Fin,Wavebreaker's Fin,断浪长鳍,斷浪長鰭,Wavebreaker's Fin
Waverider Waypoint (Cannot Teleport),Waverider Waypoint (Cannot Teleport),浪船锚点 (不能传送),浪船錨點 (不能傳送),Waverider Waypoint (Cannot Teleport)
Waypoints,Waypoints,锚点,錨點,Waypoints
Weapon,Weapon,武器,武器,Weapon
Weapon Filters,Weapon Filters,武器过滤器,武器過濾器,Weapon Filters
Weasel,Weasel,盗宝鼬,盜寶鼬,Вор-хорёк
Weather type,Weather type,天气种类,天氣種類,Погода
Wheat,Wheat,小麦,小麦,Wheat
When entity was gathered finding nearest point in this range.,When entity was gathered finding nearest point in this range.,当对象生成时在这个范围寻找最近的点,當對象生成時在這個範圍尋找最近的點,When entity was gathered finding nearest point in this range.
"When key pressed, will teleport to nearest %s if exists.","When key pressed, will teleport to nearest %s if exists.",按下按键将传送至最近存在的%s,按下按鍵將傳送至最近存在的%s,При нажатой кнопке будет телепортировать до ближейшего %s.
"When pressed, complete the nearest to avatar point.","When pressed, complete the nearest to avatar point.",当按下时，完成离角色最近的点位。,當按下時，完成離角色最近的點位。,"When pressed, complete the nearest to avatar point."
"When pressed, revert latest complete operation.","When pressed, revert latest complete operation.",当按下时，恢复离角色最近的点位。,當按下時，恢覆離角色最近的點位。,"When pressed, revert latest complete operation."
Whirling Fungus,Whirling Fungus,旋转蕈兽,旋轉蕈獸,Плесенник
White Iron Chunk,White Iron Chunk,白铁块,白鐵塊,Обломок белого железа
White Iron Chunk Drop,White Iron Chunk Drop,白铁块掉落,白鐵塊掉落,White Iron Chunk Drop
White Iron Greatsword,White Iron Greatsword,白铁大剑,白鐵大劍,White Iron Greatsword
White Pigeon,White Pigeon,白鸽,白鴿,White Pigeon
White Tassel,White Tassel,白缨枪,白纓槍,White Tassel
Whiteblind,Whiteblind,白影剑,白影劍,Whiteblind
Whopperflower,Whopperflower,骗骗花,騙騙花,Попрыгунья
Width,Width,宽度,寬度,Ширина
Wigeon,Wigeon,鸭子,鴨子,Wigeon
Windblume Ode,Windblume Ode,风花之颂,風花之頌,Windblume Ode
Windmill Mechanism,Windmill Mechanism,风车,風車,Мельничный механизм (клевер)
Windwheel Aster,Windwheel Aster,风车菊,風車菊,Ветрянная астра
Wine and Song,Wine and Song,暗巷的酒与诗,暗巷的酒與詩,Wine and Song
Winged Shroom,Winged Shroom,陆行真蕈,陸行真蕈,Крылатый моровик
Wolf's Gravestone,Wolf's Gravestone,狼的末路,狼的末路,Wolf's Gravestone
Wolfhook,Wolfhook,钩钩果,鉤鉤果,Волчий крюк
Wolves of the Rift,Wolves of the Rift,兽境之狼,獸境之狼,Wolves of the Rift
Wood,Wood,树,樹,Wood
Wooden Crate,Wooden Crate,木箱子,木箱子,Деревянный ящик
World,World,世界,世界,Мир
World Quests,World Quests,世界任务,世界任務,World Quests
World and Trounce boss enemies.,World and Trounce boss enemies.,世界boss和周本boss,世界boss和周本boss,Мировые боссы и боссы для возвышения
World level,World level,世界等级,世界等級,Уровень мира
"Wow, you found unknown chest names. This means this chest type has no filter yet.","Wow, you found unknown chest names. This means this chest type has no filter yet.",哇，你发现了未知的宝箱名称， 这代表这种宝箱类型还没有过滤器。,哇，你發現了未知的寶箱名稱。這代表著這種寶箱類型還沒有過濾器。,"Wow, you found unknown chest names. This means this chest type has no filter yet."
Xiangling,Xiangling,香菱,香菱,Xiangling
Xiao,Xiao,魈,魈,Xiao
Xingqiu,Xingqiu,行秋,行秋,Xingqiu
Xinyan,Xinyan,辛焱,辛焱,Xinyan
Xiphos' Moonlight,Xiphos' Moonlight,西福斯的月光,西福斯的月光,Xiphos' Moonlight
Yae Miko,Yae Miko,八重神子,八重神子,Yae Miko
Yanfei,Yanfei,烟绯,煙緋,Yanfei
Yelan,Yelan,夜兰,夜蘭,Yelan
Yoimiya,Yoimiya,宵宫,宵宮,Yoimiya
Yumemiru Wood,Yumemiru Wood,梦见木,夢見木,Yumemiru Wood
Yun Jin,Yun Jin,云堇,雲堇,Yun Jin
Zaytun Peach,Zaytun Peach,墩墩桃,墩墩桃,Персик зайтун
Zhongli,Zhongli,钟离,鐘離,Zhongli
